id,value
1,4531
2,1524
3,1862
4,4451
5,2249
6,3446
7,1819
8,3271
9,2748
10,4740
11,3181
12,4069
13,1671
14,4231
15,4541
16,380
17,1956
18,1941
19,4347
20,679
21,2843
22,2035
23,2361
24,4156
25,4979
26,3884
27,4893
28,2744
29,3999
30,1280
31,3811
32,2285
33,320
34,524
35,2496
36,1181
37,1561
38,479
39,920
40,2409
41,976
42,4972
43,1058
44,838
45,260
46,3117
47,920
48,1325
49,296
50,4651
51,3696
52,1213
53,2441
54,1297
55,984
56,3845
57,3535
58,3159
59,980
60,4463
61,2211
62,822
63,436
64,1575
65,3128
66,3115
67,4868
68,2494
69,369
70,1877
71,260
72,1614
73,2300
74,2891
75,3286
76,2969
77,2116
78,242
79,667
80,656
81,4611
82,1401
83,3205
84,2863
85,999
86,2395
87,1439
88,3115
89,4658
90,3267
91,716
92,4656
93,1294
94,2116
95,178
96,2869
97,3813
98,4559
99,4530
100,2356
101,3720
102,1182
103,4219
104,1066
105,256
106,4209
107,1886
108,492
109,2899
110,4863
111,1481
112,3132
113,3756
114,2378
115,967
116,4476
117,3351
118,1264
119,144
120,2656
121,2263
122,1164
123,2573
124,1789
125,2047
126,1082
127,1083
128,1142
129,1588
130,557
131,3832
132,1213
133,974
134,3852
135,1765
136,2071
137,1512
138,2913
139,108
140,1418
141,4063
142,4077
143,4227
144,241
145,3937
146,3404
147,2436
148,1764
149,3343
150,2677
151,1639
152,4938
153,2680
154,1954
155,3660
156,3107
157,4804
158,4850
159,3780
160,2071
161,964
162,1626
163,3193
164,3525
165,4505
166,418
167,4263
168,1554
169,4591
170,1972
171,4853
172,1619
173,3675
174,4164
175,1715
176,4226
177,2344
178,2086
179,3444
180,3575
181,4512
182,4644
183,1179
184,4597
185,380
186,2841
187,2086
188,3332
189,4531
190,1050
191,1146
192,4878
193,2969
194,172
195,1956
196,4392
197,460
198,499
199,4674
200,135
201,752
202,1480
203,85
204,2063
205,1817
206,1396
207,2269
208,2598
209,2039
210,729
211,268
212,2990
213,1425
214,4157
215,3150
216,1289
217,956
218,3975
219,4558
220,4435
221,1917
222,3682
223,3927
224,3749
225,914
226,643
227,1853
228,2139
229,570
230,4763
231,3730
232,494
233,2945
234,4375
235,858
236,3649
237,2820
238,4528
239,1444
240,797
241,3537
242,2660
243,2518
244,396
245,1173
246,3194
247,3618
248,3977
249,3028
250,4042
251,345
252,847
253,3587
254,1519
255,4891
256,2168
257,3632
258,3071
259,3320
260,203
261,1178
262,2469
263,1548
264,3114
265,2319
266,3683
267,4022
268,4165
269,2414
270,719
271,3969
272,3854
273,1984
274,1552
275,4187
276,3040
277,4327
278,689
279,474
280,2532
281,2656
282,872
283,1483
284,2499
285,3873
286,2702
287,2311
288,2019
289,2948
290,1790
291,449
292,4646
293,4309
294,3591
295,2271
296,4881
297,471
298,992
299,1520
300,773
301,3819
302,2887
303,2599
304,4868
305,3029
306,3787
307,2813
308,2967
309,357
310,3855
311,604
312,4780
313,2478
314,1963
315,2720
316,1341
317,4941
318,740
319,4830
320,1425
321,538
322,3089
323,3170
324,697
325,1749
326,131
327,4272
328,2212
329,3991
330,582
331,3128
332,4540
333,97
334,1476
335,3497
336,2290
337,2289
338,2147
339,3340
340,808
341,4632
342,257
343,140
344,1124
345,1637
346,147
347,2266
348,2921
349,3841
350,2542
351,3955
352,1160
353,799
354,554
355,4281
356,4440
357,3509
358,1848
359,4595
360,2842
361,1683
362,3869
363,2524
364,248
365,2836
366,4153
367,809
368,3970
369,3297
370,3408
371,559
372,61
373,1553
374,1829
375,2200
376,421
377,204
378,4826
379,3080
380,3651
381,141
382,4638
383,1906
384,1931
385,1949
386,4409
387,2265
388,1358
389,3975
390,1081
391,1310
392,345
393,4517
394,4349
395,4326
396,3538
397,4535
398,4976
399,2733
400,4680
401,1120
402,1627
403,2969
404,3097
405,539
406,1150
407,2804
408,2188
409,2637
410,205
411,4786
412,2968
413,851
414,4286
415,2538
416,1468
417,2261
418,3529
419,605
420,4150
421,2274
422,1011
423,430
424,1180
425,3352
426,2492
427,2502
428,2178
429,1661
430,3664
431,2260
432,501
433,4388
434,2288
435,1441
436,568
437,2383
438,4821
439,775
440,2009
441,4539
442,1369
443,1613
444,3298
445,591
446,1741
447,3043
448,4898
449,4284
450,4556
451,4118
452,3380
453,3245
454,100
455,208
456,239
457,1102
458,2246
459,1188
460,4955
461,2641
462,3347
463,632
464,409
465,4063
466,2180
467,2285
468,2373
469,3646
470,3655
471,56
472,3645
473,1193
474,480
475,727
476,4903
477,2804
478,525
479,2026
480,1640
481,2170
482,4500
483,1294
484,4450
485,679
486,2509
487,704
488,4935
489,4662
490,317
491,2657
492,3543
493,283
494,1725
495,2282
496,4174
497,1595
498,4230
499,1271
500,1100
501,4038
502,1638
503,2976
504,1327
505,3703
506,1536
507,848
508,3959
509,4944
510,3308
511,345
512,107
513,1377
514,2717
515,82
516,90
517,834
518,1788
519,3732
520,2943
521,1398
522,98
523,2598
524,325
525,2843
526,1878
527,4094
528,544
529,1099
530,79
531,2135
532,4160
533,4667
534,4560
535,372
536,3280
537,4116
538,4689
539,212
540,4141
541,3796
542,4074
543,3376
544,4425
545,2830
546,3961
547,1530
548,1682
549,3255
550,1726
551,889
552,3171
553,2918
554,3187
555,214
556,2934
557,3007
558,3346
559,4014
560,1931
561,2796
562,1173
563,1510
564,1448
565,4340
566,2305
567,3996
568,2100
569,928
570,2004
571,4077
572,3572
573,331
574,3497
575,4842
576,3806
577,3272
578,4140
579,859
580,1545
581,179
582,3004
583,3722
584,2024
585,1821
586,3650
587,3181
588,1936
589,3317
590,2008
591,792
592,2593
593,3084
594,4633
595,2270
596,499
597,1631
598,4079
599,2168
600,1554
601,716
602,1123
603,4884
604,1109
605,4058
606,3399
607,4912
608,4119
609,4358
610,991
611,1796
612,3775
613,4071
614,1628
615,4020
616,2176
617,4787
618,483
619,247
620,2847
621,878
622,2987
623,4593
624,1079
625,4241
626,1651
627,270
628,3501
629,2642
630,708
631,1611
632,1542
633,3381
634,3330
635,4909
636,2065
637,4456
638,1208
639,274
640,2906
641,1147
642,4115
643,3275
644,3432
645,951
646,115
647,4973
648,4473
649,1623
650,131
651,4876
652,3916
653,2124
654,4301
655,2512
656,3877
657,2752
658,3681
659,4398
660,3766
661,2760
662,609
663,66
664,2756
665,1385
666,4190
667,935
668,1803
669,3033
670,3053
671,1567
672,3612
673,2215
674,1396
675,1426
676,1708
677,1521
678,4612
679,405
680,2924
681,4469
682,3949
683,4322
684,3958
685,2039
686,170
687,3599
688,909
689,2166
690,1203
691,3860
692,3048
693,1841
694,2593
695,1155
696,1147
697,3404
698,649
699,1233
700,1243
701,2388
702,690
703,4834
704,2826
705,495
706,2611
707,3402
708,3218
709,4590
710,379
711,497
712,2093
713,2187
714,3618
715,3426
716,4790
717,375
718,2805
719,146
720,3264
721,4361
722,3234
723,300
724,1507
725,2384
726,3384
727,2093
728,1362
729,849
730,1804
731,4368
732,3019
733,2537
734,4487
735,3457
736,3088
737,4655
738,2625
739,226
740,1694
741,1453
742,1166
743,3846
744,4382
745,767
746,3456
747,1435
748,4943
749,3846
750,1487
751,925
752,1368
753,4944
754,818
755,4263
756,1186
757,2868
758,437
759,1337
760,1040
761,2722
762,3659
763,2173
764,675
765,1065
766,3374
767,3277
768,4373
769,1144
770,1098
771,4391
772,4144
773,2261
774,1479
775,1170
776,2549
777,4971
778,2702
779,2934
780,122
781,3463
782,228
783,99
784,4437
785,3362
786,4590
787,3355
788,419
789,2004
790,1058
791,217
792,233
793,4110
794,2342
795,1192
796,3491
797,1144
798,1845
799,3512
800,1593
801,121
802,1980
803,327
804,2290
805,655
806,643
807,2104
808,501
809,1930
810,937
811,2953
812,759
813,4027
814,319
