id,value
1,2372
2,917
3,4895
4,1489
5,2701
6,2455
7,847
8,766
9,2495
10,3809
11,3561
12,300
13,805
14,2664
15,2840
16,2652
17,1974
18,670
19,477
20,422
21,3545
22,4308
23,4938
24,930
25,950
26,76
27,3185
28,4929
29,2286
30,4522
31,4708
32,4376
33,2180
34,2277
35,236
36,1038
37,3571
38,394
39,355
40,1818
41,3101
42,2759
43,4412
44,3593
45,564
46,4549
47,439
48,2511
49,89
50,4411
51,2374
52,2219
53,1744
54,465
55,2916
56,2550
57,2790
58,3312
59,595
60,1206
61,3933
62,1595
63,1683
64,2262
65,2578
66,100
67,2199
68,2163
69,3938
70,3547
71,3747
72,4365
73,4734
74,2422
75,3645
76,4407
77,3163
78,3099
79,3842
80,4497
81,1816
82,3716
83,3779
84,3419
85,1565
86,2967
87,1415
88,2359
89,542
90,1463
91,590
92,3721
93,2024
94,1227
95,498
96,1408
97,4137
98,1003
99,1070
100,4007
101,2463
102,1698
103,3177
104,3450
105,1614
106,3806
107,3874
108,4793
109,2840
110,4566
111,3621
112,2276
113,4084
114,4060
115,2867
116,3770
117,4385
118,4375
119,252
120,3561
121,4289
122,1009
123,1609
124,1345
125,4119
126,4102
127,477
128,2613
129,1814
130,462
131,3941
132,553
133,2802
134,1571
135,760
136,1130
137,2284
138,4228
139,4130
140,93
141,2478
142,3705
143,3423
144,4712
145,1367
146,3649
147,3387
148,491
149,3254
150,4541
151,3403
152,2450
153,1149
154,1221
155,1164
156,2702
157,3882
158,725
159,3416
160,4635
161,1866
162,1002
163,3774
164,2588
165,2988
166,4688
167,1093
168,1477
169,247
170,4189
171,1554
172,1674
173,2631
174,1653
175,3343
176,3601
177,1282
178,1412
179,3206
180,3604
181,1286
182,1279
183,3548
184,505
185,1028
186,4577
187,3368
188,2889
189,59
190,2499
191,1810
192,4720
193,721
194,2092
195,1666
196,3063
197,4089
198,2714
199,3616
200,4401
201,4083
202,2077
203,2608
204,3364
205,2601
206,451
207,3531
208,4437
209,2330
210,2922
211,4042
212,1234
213,476
214,2128
215,4523
216,634
217,168
218,246
219,3273
220,1592
221,1440
222,758
223,3413
224,3634
225,3324
226,1585
227,3189
228,3667
229,3197
230,3687
231,885
232,4787
233,3762
234,3421
235,606
236,3361
237,3021
238,702
239,1140
240,226
241,4427
242,3353
243,664
244,598
245,1271
246,2146
247,4889
248,912
249,3758
250,592
251,1893
252,175
253,3681
254,345
255,352
256,4207
257,773
258,1028
259,3777
260,2830
261,1673
262,3632
263,1522
264,3908
265,591
266,100
267,1221
268,1512
269,253
270,2957
271,699
272,728
273,2101
274,703
275,354
276,637
277,4929
278,1964
279,943
280,2025
281,3720
282,4449
283,1678
284,659
285,3376
286,1232
287,601
288,962
289,1325
290,1658
291,481
292,1158
293,3522
294,3047
295,4763
296,4867
297,4979
298,2393
299,4425
300,1418
301,3261
302,3941
303,230
304,1565
305,3915
306,1808
307,711
308,3313
309,3675
310,357
311,486
312,912
313,3069
314,1604
315,2423
316,3939
317,618
318,2963
319,2950
320,908
321,1850
322,778
323,1700
324,3646
325,3223
326,3817
327,4751
328,3123
329,4629
330,2645
331,425
332,3255
333,2500
334,2447
335,2200
336,4372
337,4639
338,883
339,3217
340,3465
341,3963
342,4437
343,4962
344,2889
345,2919
346,3774
347,4805
348,4861
349,647
350,1949
351,1290
352,4280
353,4285
354,4027
355,4283
356,4153
357,525
358,3548
359,1904
360,797
361,4277
362,654
363,4765
364,4065
365,1065
366,3780
367,618
368,3208
369,4895
370,4307
371,1372
372,3795
373,1668
374,550
375,1249
376,1771
377,3832
378,819
379,1672
380,3356
381,3992
382,4565
383,1514
384,4507
385,3461
386,3788
387,4624
388,2245
389,833
390,4096
391,275
392,992
393,1637
394,1638
395,137
396,4114
397,4032
398,914
399,3264
400,3424
401,1064
402,729
403,4998
404,542
405,2377
406,899
407,2456
408,693
409,4948
410,1074
411,1529
412,3438
413,1025
414,974
415,2718
416,3780
417,3404
418,4727
419,3832
420,2249
421,2185
422,746
423,3240
424,3407
425,99
426,2499
427,2473
428,2050
429,498
430,1289
431,2425
432,2088
433,3937
434,489
435,2142
436,940
437,4615
438,208
439,3148
440,1251
441,1692
442,4240
443,3418
444,3542
445,4188
446,888
447,2755
448,3547
449,1865
450,1802
451,2574
452,324
453,2549
454,3221
455,702
456,4119
457,4792
458,4085
459,4941
460,1422
461,693
462,954
463,2454
464,4189
465,788
466,3635
467,4946
468,2052
469,700
470,4642
471,2048
472,2422
473,4426
474,222
475,2946
476,4799
477,202
478,1207
479,4981
480,303
481,985
482,4767
483,3038
484,2412
485,4869
486,4587
487,4483
488,4743
489,1480
490,1302
491,1322
492,4564
493,3817
494,2762
495,528
496,844
497,2429
498,2639
499,1173
500,4501
501,4743
502,2883
503,2900
504,4591
505,3072
506,1615
507,1449
508,3936
509,835
510,2382
511,3920
512,2382
513,2878
514,4644
515,3217
516,4318
517,3309
518,3650
519,3249
520,2084
521,2065
522,4255
523,3608
524,725
525,191
526,847
527,2975
528,4460
529,4817
530,2180
531,3714
532,2162
533,3182
534,463
535,1693
536,1760
537,4150
538,98
539,2436
540,4702
541,4525
542,3148
543,3438
544,1237
545,3621
546,459
547,1659
548,3223
549,4228
550,130
551,3338
552,2561
553,1238
554,1294
555,4127
556,311
557,3934
558,1520
559,865
560,590
561,631
562,3241
563,3373
564,997
565,4550
566,2456
567,427
568,3697
569,1755
570,2069
571,2886
572,4225
573,2512
574,2510
575,1046
576,718
577,1635
578,3293
579,1963
580,2648
581,4272
582,3900
583,3138
584,63
585,3776
586,3454
587,4024
588,3457
589,3696
590,1987
591,1008
592,533
593,397
594,1845
595,4358
596,217
597,1998
598,761
599,1143
600,768
601,4213
602,2060
603,3058
604,658
605,704
606,2192
607,1417
608,4124
609,290
610,4137
611,1925
612,918
613,523
614,4760
615,4755
616,2059
617,1698
618,1083
619,3626
620,213
621,2525
622,3438
623,4552
624,3214
625,4503
626,4314
627,4002
628,2430
629,3461
630,66
631,4031
632,2407
633,425
634,2462
635,584
636,1654
637,3587
638,376
639,2758
640,2748
641,87
642,132
643,345
644,4894
645,4140
646,1576
647,2319
648,3903
649,4083
650,3245
651,3965
652,2186
653,2507
654,4382
655,1678
656,1554
657,3919
658,836
659,1008
660,1369
661,2661
662,3700
663,1249
664,2618
665,4255
666,1785
667,2794
668,3622
669,709
670,317
671,2728
672,444
673,3076
674,3213
675,2843
676,3538
677,3642
678,726
679,264
680,1793
681,2668
682,3593
683,482
684,4244
685,1139
686,4818
687,73
688,4087
689,2496
690,1785
691,2749
692,397
693,4768
694,3152
695,2658
696,3335
697,4820
698,640
699,1221
700,4447
701,3228
702,946
703,2648
704,1562
705,3041
706,4559
707,4048
708,4556
709,2191
710,2395
711,3211
712,4315
713,4610
714,566
715,4033
716,1259
717,3109
718,2809
719,2716
720,1840
721,2209
722,4682
723,175
724,1960
725,4650
726,2751
727,1385
728,4544
729,4681
730,1401
731,430
732,4060
733,525
734,723
735,3517
736,4219
737,4203
738,4282
739,3740
740,2350
741,3175
742,1411
743,375
744,3884
745,1650
746,3556
747,266
748,4977
749,3107
750,3178
751,522
752,1348
753,3902
754,3925
755,4810
756,1293
757,1953
758,3272
759,1639
760,633
761,964
762,2197
763,3954
764,4756
765,4842
766,2233
767,2000
768,1946
769,1797
770,806
771,4779
772,4111
773,3792
774,836
775,4311
776,2700
777,3780
778,4179
779,2842
780,4030
781,589
782,4129
783,983
784,4754
785,3347
786,687
787,3249
788,4453
789,199
790,1459
791,4106
792,3829
793,1661
794,434
795,2145
796,3617
797,3175
798,1951
799,568
800,3647
801,1155
802,1086
803,243
804,2406
805,4827
806,1798
807,4417
808,776
809,3788
810,1758
811,3413
812,4987
813,154
814,2659
815,2585
816,370
817,3712
818,2266
819,1643
820,1688
821,352
822,3353
823,317
824,3457
825,2757
826,4462
827,2836
828,170
829,621
830,2347
831,154
832,3742
833,2126
834,3372
835,1908
836,1571
837,4634
838,4988
839,2243
840,4139
841,2119
842,2311
843,430
844,907
845,4878
846,3205
847,2687
848,473
849,4022
850,2249
851,3841
852,2787
853,4346
854,3764
855,4763
856,1897
857,605
858,272
859,3580
860,2705
861,3354
862,3601
863,797
864,1731
865,1511
866,4125
867,4228
868,634
869,3401
870,3072
871,4222
872,1286
873,420
874,435
875,3125
876,3262
877,3167
878,1353
879,2473
880,3469
881,4778
882,196
883,4326
884,1854
885,2434
886,1018
887,1388
888,3476
889,1508
890,3327
891,1294
892,2002
893,1395
894,2678
895,4350
896,877
897,4425
898,4934
899,75
900,2525
901,79
902,2826
903,4485
904,4010
905,4751
906,4402
907,3433
908,3397
909,595
910,3370
911,1891
912,1673
913,4109
914,351
915,3396
916,3573
917,4803
918,4179
919,2041
920,4941
921,507
922,1506
923,2184
924,4135
925,4701
926,458
927,4842
928,3080
929,2282
930,222
931,4034
932,3783
933,186
934,2014
935,1823
936,480
937,263
938,4232
939,4990
940,295
941,1070
942,2859
943,4241
944,1969
945,880
946,1294
947,1281
948,1806
949,2976
950,3604
951,3566
952,2735
953,169
954,2076
955,3455
956,1079
957,1194
958,2380
959,3701
960,4309
961,2717
962,1382
963,938
964,2827
965,3498
966,1673
967,3899
968,1537
969,3939
970,4188
971,4257
972,1839
973,2829
974,3398
975,3707
976,2544
977,472
978,4363
979,2956
980,319
981,4658
982,2993
983,3719
984,2043
985,134
986,1282
987,3475
988,3025
989,824
990,4574
991,2316
992,1177
993,231
994,1834
995,1529
996,958
997,659
998,4477
999,3693
1000,2972
1001,1182
1002,4768
1003,516
1004,4015
1005,4527
1006,3342
1007,3699
1008,4531
1009,4501
1010,3804
1011,4376
1012,1117
1013,2802
1014,234
1015,1657
1016,323
1017,4909
1018,3130
1019,1597
1020,844
1021,951
1022,427
1023,1560
1024,3479
1025,678
1026,2337
1027,776
1028,1597
1029,1591
1030,4745
1031,1281
1032,1689
1033,3083
1034,3387
1035,4198
1036,4403
1037,648
1038,2267
1039,4271
1040,539
1041,2385
1042,3492
1043,1697
1044,3997
1045,3872
1046,1940
1047,2037
1048,605
1049,1940
1050,2198
1051,2722
1052,2030
1053,4470
1054,3295
1055,2278
1056,2400
1057,1557
1058,922
1059,961
1060,798
1061,2276
1062,454
1063,579
1064,3501
1065,2915
1066,1204
1067,1806
1068,2390
1069,4521
1070,232
1071,1141
1072,908
1073,1885
1074,704
1075,3088
1076,496
1077,1650
1078,1875
1079,3772
1080,3843
1081,949
1082,1734
1083,1160
1084,3167
1085,797
1086,135
1087,2515
1088,3123
1089,4689
1090,1751
1091,4628
1092,1114
1093,877
1094,4785
1095,3096
1096,1349
1097,4311
1098,3632
1099,4027
1100,1653
1101,2484
1102,1100
1103,2744
1104,2534
1105,984
1106,3249
1107,2874
1108,1254
1109,4007
1110,2137
1111,4579
1112,4868
1113,357
1114,3518
1115,850
1116,817
1117,2841
1118,3400
1119,587
1120,168
1121,118
1122,2239
1123,1169
1124,2150
1125,1438
1126,2198
1127,848
1128,1430
1129,754
1130,4163
1131,947
1132,3323
1133,3105
1134,1330
1135,2664
1136,614
1137,3463
1138,4778
1139,1287
1140,2410
1141,1048
1142,95
1143,4782
1144,3372
1145,1335
1146,2409
1147,4690
1148,2252
1149,1410
1150,1207
1151,2541
1152,697
1153,3480
1154,1039
1155,3369
1156,3554
1157,1537
1158,773
1159,3529
1160,2576
1161,4322
1162,636
1163,3191
1164,228
1165,3075
1166,1813
1167,3219
1168,4533
1169,3671
1170,2401
1171,533
1172,4576
1173,4931
1174,457
1175,1524
1176,1240
1177,1079
1178,2239
1179,3627
1180,548
1181,509
1182,1193
1183,3640
1184,3079
1185,4917
1186,675
1187,2949
1188,2270
1189,2474
1190,2544
1191,4192
1192,419
1193,3395
1194,4084
1195,4516
1196,483
1197,1123
1198,710
1199,543
1200,239
1201,4876
1202,1243
1203,389
1204,635
1205,4097
1206,882
1207,2733
1208,639
1209,2490
1210,3271
1211,4443
1212,296
1213,2040
1214,2039
1215,1586
1216,4481
1217,1107
1218,2755
1219,1764
1220,1356
1221,1168
1222,2732
1223,663
1224,265
1225,3769
1226,3348
1227,1841
1228,582
1229,4468
1230,746
1231,197
1232,2807
1233,3225
1234,1719
1235,3365
1236,3951
1237,2445
1238,2529
1239,4031
1240,3876
1241,3552
1242,4075
1243,842
1244,2447
1245,2165
1246,588
1247,749
1248,3347
1249,2228
1250,768
1251,4258
1252,2097
1253,1845
1254,1978
1255,1897
1256,2803
1257,4840
1258,3651
1259,3020
1260,982
1261,2010
1262,2055
1263,730
1264,838
1265,1565
1266,791
1267,2755
1268,4140
1269,4608
1270,1858
1271,2096
1272,2550
1273,4310
1274,3927
1275,2993
1276,777
1277,4282
1278,1857
1279,3736
1280,1378
1281,2346
1282,1946
1283,2343
1284,3018
1285,1794
1286,2619
1287,1579
1288,4275
1289,3867
1290,391
1291,2374
1292,2687
1293,662
1294,975
1295,4465
1296,4007
1297,264
1298,3377
1299,2287
1300,545
1301,4700
1302,3801
1303,3080
1304,704
1305,1881
1306,3857
1307,2835
1308,2028
1309,4902
1310,3246
1311,3382
1312,1915
1313,98
1314,1036
1315,2650
1316,3839
1317,1393
1318,2083
1319,1255
1320,1249
1321,1122
1322,575
1323,3010
1324,433
1325,4391
1326,2187
1327,4688
1328,4040
1329,1685
1330,1284
1331,2434
1332,612
1333,3500
1334,3611
1335,4948
1336,260
1337,4455
1338,2898
1339,4817
1340,1884
1341,2666
1342,2641
1343,4003
1344,4897
1345,4742
1346,625
1347,3004
1348,1264
1349,1857
1350,1975
1351,759
1352,423
1353,2400
1354,767
1355,1712
1356,3819
1357,947
1358,872
1359,1036
1360,1417
1361,2048
1362,4500
1363,2596
1364,1581
1365,4337
1366,2467
1367,4970
1368,4010
1369,3497
1370,3265
1371,2990
1372,3869
1373,3439
1374,4037
1375,2996
1376,4491
1377,3291
1378,764
1379,1963
1380,1269
1381,1642
1382,3318
1383,4787
1384,3360
1385,4047
1386,3149
1387,2151
1388,1390
1389,4499
1390,3377
1391,2756
1392,3885
1393,407
1394,2920
1395,1295
1396,921
1397,3162
1398,147
1399,1028
1400,2061
1401,1416
1402,2850
1403,2780
1404,3674
1405,275
1406,3623
1407,4927
1408,3769
1409,1650
1410,3657
1411,2184
1412,716
1413,3760
1414,465
1415,424
1416,3571
1417,131
1418,4698
1419,2397
1420,4794
1421,4464
1422,3547
1423,1129
1424,856
1425,2913
1426,4676
1427,2677
1428,3672
1429,1510
1430,1406
1431,3782
1432,888
1433,2039
1434,2159
1435,756
1436,3763
1437,2128
1438,3180
1439,555
1440,4898
1441,2906
1442,181
1443,3922
1444,4720
1445,4564
1446,1776
1447,4148
1448,3594
1449,3104
1450,1061
1451,3097
1452,3108
1453,3703
1454,2749
1455,1219
1456,2265
1457,328
1458,3360
1459,3015
1460,1898
1461,636
1462,1839
1463,3993
1464,4349
1465,641
1466,1577
1467,1392
1468,2871
1469,3637
1470,1870
1471,1994
1472,1607
1473,3917
1474,4104
1475,1827
1476,3343
1477,3657
1478,3319
1479,2119
1480,2706
1481,1024
1482,217
1483,1135
1484,2610
1485,1202
1486,4065
1487,509
1488,1364
1489,4230
1490,433
1491,4560
1492,4149
1493,2324
1494,2506
1495,810
1496,2121
1497,3144
1498,4615
1499,4903
1500,2789
1501,3211
1502,3818
1503,1176
1504,4174
1505,2742
1506,3251
1507,4194
1508,3395
1509,1778
1510,1930
1511,1142
1512,3385
1513,2881
1514,1985
1515,2075
1516,989
1517,817
1518,3609
1519,2212
1520,4808
1521,3648
1522,624
1523,4292
1524,3663
1525,878
1526,3438
1527,1919
1528,2355
1529,4259
1530,1627
1531,2787
1532,2324
1533,993
1534,1454
1535,136
1536,2564
1537,1010
1538,600
1539,4127
1540,2494
1541,1155
1542,1034
1543,2289
1544,1911
1545,1783
1546,3902
1547,3775
1548,4013
1549,3587
1550,3523
1551,3777
1552,4567
1553,2622
1554,3179
1555,3702
1556,319
1557,1224
1558,4912
1559,355
1560,1699
1561,953
1562,1924
1563,1421
1564,3519
1565,4619
1566,3916
1567,4836
1568,1784
1569,4942
1570,755
1571,806
1572,785
1573,2168
1574,3201
1575,339
1576,1622
1577,4444
1578,1139
1579,696
1580,267
1581,427
1582,3609
1583,393
1584,3804
1585,1279
1586,3005
1587,1305
1588,2309
1589,1833
1590,113
1591,3679
1592,942
1593,2083
1594,4149
1595,3153
1596,3784
1597,4560
1598,1708
1599,3315
1600,4869
1601,874
1602,3164
1603,2192
1604,3044
1605,4642
1606,1795
1607,1186
1608,1131
1609,4581
1610,4921
1611,1913
1612,3946
1613,226
1614,1365
1615,1774
1616,3504
1617,3701
1618,4119
1619,1693
1620,807
1621,1050
1622,3066
1623,2249
1624,271
1625,3503
1626,3947
1627,1561
1628,2613
1629,4197
1630,2458
1631,4301
1632,1664
1633,3705
1634,2775
1635,1098
1636,3740
1637,929
1638,221
1639,4106
1640,3054
1641,2398
1642,2297
1643,2271
1644,3589
1645,739
1646,2711
1647,4526
1648,4934
1649,2585
1650,4540
1651,4711
1652,836
1653,3160
1654,3232
1655,3475
1656,1329
1657,161
1658,1372
1659,4732
1660,1622
1661,4635
1662,1777
1663,778
1664,4263
1665,4359
1666,1319
1667,3271
1668,3124
1669,1325
1670,3692
1671,3598
1672,3496
1673,2818
1674,2775
1675,4793
1676,1904
1677,3857
1678,968
1679,4084
1680,1812
1681,4423
1682,4291
1683,4103
1684,3785
1685,2144
1686,2532
1687,4259
1688,1323
1689,4857
1690,843
1691,2468
1692,2746
1693,4481
1694,1979
1695,1671
1696,819
1697,2557
1698,2144
1699,791
1700,3504
1701,3059
1702,4556
1703,2706
1704,3093
1705,4073
1706,668
1707,3365
1708,2793
1709,4813
1710,4822
1711,317
1712,1489
1713,2749
1714,382
1715,988
1716,2531
1717,1857
1718,3746
1719,1645
1720,4456
1721,1714
1722,3904
1723,1829
1724,540
1725,1110
1726,3843
1727,2469
1728,889
1729,4057
1730,1050
1731,113
1732,4005
1733,4047
1734,1435
1735,2822
1736,4698
1737,3513
1738,1539
1739,4850
1740,4447
1741,4151
1742,1301
1743,2036
1744,457
1745,1386
1746,4756
1747,1116
1748,2427
1749,2991
1750,3440
1751,1692
1752,3006
1753,115
1754,714
1755,2022
1756,2097
1757,3370
1758,3296
1759,4713
1760,3541
1761,2354
1762,2202
1763,3540
1764,699
1765,4872
1766,455
1767,83
1768,133
1769,2310
1770,1336
1771,4396
1772,2979
1773,4552
1774,1032
1775,3352
1776,4399
1777,1575
1778,2827
1779,2429
1780,3728
1781,3404
1782,3253
1783,2723
1784,1773
1785,625
1786,1509
1787,2085
1788,2137
1789,2133
1790,4408
1791,1688
1792,1731
1793,484
1794,1200
1795,2447
1796,1368
1797,1208
1798,71
1799,3808
1800,4866
1801,1041
1802,3776
1803,2061
1804,3860
1805,2984
1806,1089
1807,1644
1808,4564
1809,3757
1810,952
1811,1185
1812,3224
1813,3327
1814,3441
1815,1624
1816,4331
1817,4734
1818,1226
1819,4149
1820,417
1821,655
1822,174
1823,2607
1824,4834
1825,1925
1826,3939
1827,4486
1828,4423
1829,2603
1830,1440
1831,4730
1832,3676
1833,4600
1834,2745
1835,2457
1836,491
1837,3818
1838,4766
1839,1723
1840,3062
1841,3454
1842,3307
1843,4657
1844,3202
1845,2867
1846,802
1847,2078
1848,3841
1849,299
1850,287
1851,3536
1852,2414
1853,407
1854,1126
1855,1956
1856,2572
1857,4125
1858,139
1859,4655
1860,2703
1861,3839
1862,3680
1863,2866
1864,3520
1865,4544
1866,104
1867,132
1868,163
1869,442
1870,290
1871,2098
1872,4831
1873,263
1874,3182
1875,1907
1876,1801
1877,4454
1878,1738
1879,4296
1880,497
1881,4611
1882,2574
1883,301
1884,1196
1885,804
1886,3515
1887,2694
1888,3673
1889,451
1890,1044
1891,2138
1892,3040
1893,3376
1894,2580
1895,2342
1896,719
1897,612
1898,479
1899,1237
1900,2174
1901,3140
1902,3264
1903,1466
1904,4117
1905,4593
1906,594
1907,3270
1908,798
1909,2144
1910,3562
1911,875
1912,589
1913,1513
1914,4785
1915,4275
1916,2173
1917,1438
1918,4072
1919,4576
1920,4177
1921,970
1922,235
1923,2981
1924,1105
1925,2471
1926,3968
1927,4431
1928,4548
1929,1855
1930,3121
1931,1358
1932,4123
1933,3361
1934,3925
1935,817
1936,2015
1937,150
1938,1396
1939,1483
1940,1771
1941,1736
1942,1274
1943,3504
1944,3053
1945,1395
1946,2636
1947,4609
1948,2459
1949,4097
1950,2860
1951,866
1952,3826
1953,2388
1954,2030
1955,158
1956,562
1957,363
1958,2456
1959,2905
1960,1262
1961,2040
1962,1569
1963,4612
1964,3366
1965,3170
1966,120
1967,3347
1968,3669
1969,4872
1970,154
1971,3676
1972,129
1973,573
1974,3030
1975,3567
1976,805
1977,961
1978,2064
1979,4089
1980,1805
1981,1830
1982,2411
1983,3915
1984,3160
1985,2203
1986,4663
1987,1601
1988,2580
1989,850
1990,1644
1991,2106
1992,295
1993,2208
1994,3418
1995,4846
1996,1328
1997,3868
1998,3817
1999,2330
2000,2826
2001,3759
2002,352
2003,1922
2004,3225
2005,4103
2006,4628
2007,3049
2008,4189
2009,2150
2010,896
2011,4766
2012,4678
2013,2672
2014,4079
2015,70
2016,3239
2017,3666
2018,3123
2019,473
2020,4826
2021,2445
2022,3365
2023,1614
2024,1376
2025,2307
2026,2064
2027,111
2028,1487
2029,247
2030,4450
2031,4102
2032,2627
2033,3218
2034,4583
2035,874
2036,50
2037,2056
2038,3654
2039,1294
2040,1674
2041,1845
2042,2618
2043,4651
2044,1524
2045,1160
2046,108
2047,931
2048,860
2049,4133
2050,100
2051,2548
2052,1994
2053,504
2054,2553
2055,1449
2056,827
2057,2785
2058,3274
2059,4169
2060,788
2061,4836
2062,3302
2063,1275
2064,1569
2065,4643
2066,3449
2067,3048
2068,3034
2069,3158
2070,201
2071,4371
2072,4400
2073,1046
2074,2383
2075,1647
2076,300
2077,332
2078,4928
2079,2647
2080,163
2081,3669
2082,187
2083,4245
2084,4395
2085,1544
2086,446
2087,750
2088,2599
2089,4101
2090,870
2091,3389
2092,352
2093,4433
2094,716
2095,1090
2096,1440
2097,4820
2098,1087
2099,3088
2100,1810
2101,1930
2102,3363
2103,3114
2104,2874
2105,3291
2106,4503
2107,534
2108,270
2109,3862
2110,4546
2111,3941
2112,4017
2113,1313
2114,2251
2115,1305
2116,1037
2117,133
2118,3959
2119,4137
2120,4909
2121,428
2122,1926
2123,829
2124,4304
2125,625
2126,2171
2127,537
2128,605
2129,2748
2130,3417
2131,3753
2132,534
2133,1142
2134,360
2135,637
2136,2126
2137,147
2138,2331
2139,2378
2140,677
2141,1568
2142,528
2143,2407
2144,3059
2145,4983
2146,4340
2147,676
2148,2615
2149,2786
2150,1346
2151,3599
2152,682
2153,4349
2154,2989
2155,1189
2156,3838
2157,4271
2158,4532
2159,2684
2160,4868
2161,1853
2162,3705
2163,916
2164,2915
2165,2554
2166,3283
2167,3831
2168,2847
2169,2594
2170,1586
2171,3551
2172,856
2173,1090
2174,2976
2175,4998
2176,1010
2177,4425
2178,400
2179,1329
2180,4991
2181,3950
2182,2433
2183,184
2184,320
2185,1678
2186,1762
2187,4604
2188,4652
2189,384
2190,1383
2191,2479
2192,457
2193,1784
2194,2226
2195,2097
2196,4765
2197,771
2198,1150
2199,4462
2200,1515
2201,3697
2202,4958
2203,1507
2204,520
2205,434
2206,1676
2207,3397
2208,1244
2209,180
2210,2293
2211,3992
2212,1125
2213,3118
2214,2873
2215,2356
2216,2688
2217,2577
2218,3258
2219,1185
2220,4387
2221,3377
2222,872
2223,967
2224,4518
2225,2946
2226,3634
2227,2389
2228,1159
2229,3579
2230,2562
2231,2677
2232,1010
2233,210
2234,3552
2235,3735
2236,3809
2237,824
2238,2073
2239,1336
2240,1654
2241,1047
2242,970
2243,3446
2244,4157
2245,4852
2246,4232
2247,686
2248,568
2249,2654
2250,3182
2251,255
2252,4779
2253,4068
2254,1357
2255,2346
2256,1501
2257,2701
2258,1517
2259,101
2260,4712
2261,812
2262,3878
2263,2924
2264,1819
2265,1617
2266,1940
2267,4592
2268,4482
2269,2658
2270,4596
2271,2683
2272,1690
2273,3698
2274,2030
2275,3427
2276,3197
2277,1520
2278,2303
2279,3124
2280,469
2281,1964
2282,1943
2283,2352
2284,3623
2285,647
2286,1756
2287,494
2288,4046
2289,2531
2290,2372
2291,1908
2292,2170
2293,1961
2294,1307
2295,4240
2296,1472
2297,1771
2298,4725
2299,4363
2300,4145
2301,3416
2302,1868
2303,269
2304,1659
2305,4721
2306,3959
2307,2690
2308,3884
2309,4557
2310,4314
2311,1349
2312,4919
2313,2292
2314,210
2315,412
2316,4464
2317,1346
2318,1029
2319,1149
2320,3631
2321,1192
2322,121
2323,2582
2324,4355
2325,740
2326,2100
2327,1611
2328,2716
2329,4284
2330,4167
2331,3765
2332,279
2333,4581
2334,2305
2335,3744
2336,332
2337,2570
2338,4707
2339,2455
2340,1698
2341,4021
2342,583
2343,4850
2344,2486
2345,541
2346,499
2347,1433
2348,798
2349,1551
2350,1921
2351,4938
2352,3585
2353,4870
2354,4337
2355,2564
2356,1838
2357,2438
2358,2789
2359,3403
2360,815
2361,2866
2362,1123
2363,2520
2364,1361
2365,3200
2366,4146
2367,4208
2368,2996
2369,3592
2370,3361
2371,1737
2372,2562
2373,1818
2374,1565
2375,3049
2376,424
2377,3762
2378,2687
2379,2483
2380,86
2381,1253
2382,1816
2383,3548
2384,119
2385,1845
2386,3295
2387,979
2388,4659
2389,3843
2390,2408
2391,733
2392,4712
2393,1021
2394,2066
2395,4013
2396,2514
2397,3314
2398,2264
2399,3454
2400,971
2401,1358
2402,4748
2403,4338
2404,4911
2405,157
2406,4900
2407,4779
2408,1628
2409,504
2410,1761
2411,794
2412,4915
2413,1717
2414,2765
2415,93
2416,1164
2417,3961
2418,1169
2419,2167
2420,3954
2421,1057
2422,4360
2423,279
2424,3334
2425,1461
2426,3101
2427,2958
2428,1396
2429,3564
2430,1481
2431,4366
2432,4559
2433,3807
2434,1339
2435,3128
2436,3469
2437,4305
2438,2284
2439,1959
2440,3431
2441,592
2442,4603
2443,1629
2444,2369
2445,225
2446,2366
2447,1038
2448,3452
2449,4268
2450,3684
2451,3553
2452,4146
2453,793
2454,630
2455,877
2456,4986
2457,160
2458,215
2459,4126
2460,4961
2461,380
2462,2291
2463,3905
2464,1604
2465,546
2466,1041
2467,4879
2468,936
2469,3047
2470,3587
2471,4222
2472,3609
2473,1172
2474,3381
2475,4674
2476,1899
2477,760
2478,2483
2479,1109
2480,3610
2481,4376
2482,2038
2483,4045
2484,3447
2485,2415
2486,2017
2487,2922
2488,1570
2489,4814
2490,2828
2491,4006
2492,1939
2493,2504
2494,1071
2495,4496
2496,1368
2497,563
2498,4636
2499,1276
2500,367
2501,3689
2502,523
2503,2834
2504,2842
2505,1440
2506,999
2507,328
2508,1875
2509,1676
2510,1842
2511,793
2512,930
2513,2198
2514,3869
2515,1321
2516,590
2517,2720
2518,728
2519,4771
2520,2150
2521,353
2522,1930
2523,4907
2524,1245
2525,3453
2526,3645
2527,136
2528,2868
2529,1289
2530,683
2531,2175
2532,2523
2533,3282
2534,244
2535,3426
2536,4332
2537,4492
2538,2527
2539,1064
2540,2954
2541,3010
2542,3028
2543,1612
2544,2783
2545,2639
2546,4733
2547,3354
