id,value
1,2841
2,3530
3,3845
4,3369
5,4155
6,1375
7,4672
8,1839
9,3033
10,928
11,2412
12,3080
13,3081
14,4972
15,3192
16,2669
17,2527
18,3101
19,2293
20,4517
21,3144
22,4160
23,293
24,3912
25,3648
26,4439
27,4136
28,2738
29,2743
30,1985
31,679
32,914
33,3975
34,4856
35,3936
36,3511
37,3766
38,1564
39,689
40,3082
41,3463
42,103
43,1204
44,3886
45,4350
46,1370
47,1416
48,4158
49,4757
50,761
51,4392
52,2491
53,1594
54,578
55,1278
56,2492
57,1000
58,1062
59,3418
60,3620
61,1138
62,724
63,2837
64,1615
65,459
66,3148
67,4978
68,708
69,1371
70,4867
71,2364
72,262
73,1639
74,2977
75,1688
76,4928
77,1346
78,4732
79,2233
80,2001
81,754
82,484
83,3515
84,3133
85,3554
86,4274
87,967
88,966
89,2312
90,3506
91,272
92,3461
93,3755
94,2342
95,3125
96,2013
97,4494
98,537
99,3244
100,1818
101,1090
102,4884
103,2326
104,1652
105,2848
106,1366
107,4649
108,2259
109,4089
110,2018
111,1095
112,2400
113,2542
114,1844
115,521
116,4067
117,1788
118,4613
119,1140
120,2802
121,2160
122,591
123,3733
124,3470
125,1444
126,4677
127,3156
128,4197
129,3097
130,841
131,4783
132,4821
133,2290
134,1818
135,4255
136,730
137,1086
138,1930
139,3331
140,4684
141,3836
142,2528
143,3237
144,4838
145,2350
146,254
147,3621
148,3249
149,199
150,584
151,2428
152,835
153,2705
154,2548
155,3253
156,4558
157,1402
158,3567
159,3189
160,511
161,369
162,2288
163,3571
164,2999
165,2642
166,542
167,1981
168,2818
169,2617
170,685
171,305
172,820
173,1387
174,1873
175,3659
176,706
177,2131
178,1326
179,2698
180,3610
181,142
182,1742
183,3563
184,4225
185,468
186,2095
187,1949
188,3513
189,778
190,1475
191,827
192,4713
193,1442
194,3675
195,1445
196,4539
197,3869
198,2802
199,2664
200,4661
201,2231
202,416
203,2363
204,612
205,563
206,579
207,3509
208,4064
209,3444
210,2052
211,327
212,2752
213,1530
214,3754
215,4563
216,4359
217,2821
218,3858
219,2151
220,2999
221,4823
222,1681
223,3239
224,1365
225,2156
226,1674
227,1186
228,1651
229,2808
230,805
231,2560
232,3587
233,3107
234,1660
235,250
236,238
237,4111
238,544
239,2570
240,4745
241,3879
242,4426
243,1800
244,1032
245,2407
246,2363
247,1405
248,2794
249,493
250,723
251,2311
252,517
253,3010
254,581
255,1296
256,1768
257,4000
258,210
259,883
260,1957
261,2941
262,3886
263,3748
264,4102
265,4373
266,1095
267,420
268,3229
269,3011
270,1152
271,2599
272,1778
273,1505
274,4756
275,3829
276,2636
277,331
278,3640
279,2521
280,1099
281,2191
282,4754
283,1740
284,2055
285,2028
286,3743
287,3736
288,3642
289,1602
290,1491
291,3979
292,2950
293,1533
294,4535
295,404
296,2490
297,2207
298,522
299,3835
300,3297
301,4169
302,1572
303,220
304,3787
305,1701
306,4479
307,2409
308,2989
309,1106
310,4293
311,548
312,1778
313,4423
314,1300
315,2237
316,3265
317,2660
318,2862
319,3483
320,3478
321,2959
322,77
323,296
324,3662
325,4713
326,2468
327,1013
328,3846
329,2225
330,2779
331,4530
332,198
333,2348
334,3282
335,198
336,1454
337,4664
338,1080
339,1905
340,1950
341,3780
342,3865
343,4764
344,172
345,4841
346,3326
347,3883
348,151
349,2318
350,3754
351,1710
352,2510
353,4675
354,1062
355,163
356,998
357,2798
358,3885
359,1799
360,4623
361,3723
362,1074
363,887
364,1000
365,2420
366,4760
367,3755
368,2817
369,2831
370,73
371,4595
372,2771
373,1696
374,4628
375,4859
376,4186
377,1088
378,1761
379,3397
380,511
381,4036
382,3167
383,4075
384,160
385,709
386,3857
387,3798
388,1206
389,1103
390,4750
391,1977
392,3977
393,1906
394,1158
395,3164
396,3334
397,4860
398,2631
399,1089
400,4072
401,3283
402,244
403,278
404,458
405,3155
406,743
407,1629
408,1173
409,2355
410,3973
411,2713
412,3332
413,1526
414,3020
415,3607
416,4975
417,4682
418,3989
419,1381
420,4673
421,3264
422,1693
423,1556
424,3377
425,1878
426,976
427,834
428,4089
429,383
430,4727
431,1917
432,1763
433,2450
434,3298
435,3988
436,1838
437,1727
438,2135
439,4591
440,1016
441,716
442,3892
443,2201
444,3900
445,4189
446,231
447,2879
448,574
449,2826
450,908
451,1577
452,4373
453,3339
454,1499
455,2325
456,4837
457,4575
458,2913
459,1627
460,2966
461,3511
462,2646
463,2401
464,2940
465,4764
466,488
467,2096
468,2435
469,784
470,4021
471,1078
472,4425
473,4067
474,3184
475,88
476,3861
477,3720
478,573
479,1416
480,2985
481,3806
482,3152
483,2409
484,4502
485,872
486,67
487,546
488,4177
489,3478
490,2536
491,1321
492,2139
493,4837
494,582
495,653
496,4466
497,4560
498,982
499,3503
500,1549
501,1343
502,2501
503,2324
504,778
505,2472
506,924
507,4009
508,2391
509,3554
510,2701
511,2288
512,1594
513,1273
514,3577
515,3997
516,4643
517,399
518,1532
519,1547
520,1682
521,2323
522,3433
523,1714
524,1951
525,4158
526,3751
527,1572
528,3746
529,3122
530,4665
531,4663
532,1621
533,1962
534,1337
535,4091
536,179
537,3226
538,3267
539,953
540,597
541,4825
542,4847
543,260
544,1352
545,642
546,2520
547,3168
548,3576
549,4545
550,741
551,2931
552,4964
553,3652
554,333
555,488
556,749
557,997
558,450
559,4613
560,3227
561,1905
562,3971
563,1244
564,3128
565,782
566,4794
567,2821
568,2203
569,1616
570,3459
571,213
572,2095
573,3743
574,4275
575,4580
576,2876
577,1672
578,3140
579,2943
580,1262
581,4961
582,3507
583,2213
584,3503
585,2970
586,2538
587,150
588,568
589,2729
590,2033
591,3349
592,1878
593,1727
594,3875
595,1480
596,293
597,1402
598,3372
599,1273
600,1906
601,314
602,974
603,797
604,4040
605,2025
606,4542
607,3675
608,3483
609,2708
610,2608
611,3872
612,4656
613,3309
614,3184
615,3322
616,2038
617,725
618,660
619,4525
620,251
621,1421
622,3171
623,4633
624,2627
625,4952
626,2480
627,1373
628,4940
629,2343
630,2850
631,1340
632,4119
633,4238
634,4142
635,376
636,3894
637,4632
638,4175
639,2517
640,1460
641,548
642,1879
643,3078
644,3719
645,3932
646,714
647,2061
648,2363
649,2822
650,1206
651,188
652,2375
653,3410
654,1740
655,1241
656,1962
657,83
658,4381
659,4369
660,1873
661,2291
662,989
663,1465
664,4268
665,2901
666,4152
667,2596
668,2229
669,4136
670,4095
671,3451
672,3289
673,807
674,3641
675,1986
676,2155
677,409
678,3816
679,2130
680,3187
681,2320
682,3282
683,1828
684,542
685,4717
686,3358
687,3175
688,2096
689,4224
690,2982
691,387
692,1805
693,489
694,4863
695,3705
696,1859
697,3623
698,1954
699,3423
700,4604
701,3014
702,3293
703,2543
704,1948
705,3751
706,1424
707,783
708,4811
709,1285
710,4433
711,283
712,1835
713,1336
714,1506
715,2561
716,1219
717,2369
718,2243
719,778
720,2613
721,2980
722,4254
723,3520
724,454
725,582
726,1507
727,1567
728,2847
729,3876
730,4692
731,595
732,2839
733,2775
734,2652
735,4628
736,1402
737,184
738,3547
739,3237
740,1518
741,2058
742,3567
743,1178
744,776
745,114
746,3312
747,3985
748,817
749,3835
750,1007
751,204
752,1602
753,4330
754,2750
755,2791
756,3481
757,1716
758,3953
759,3706
760,99
761,4345
762,2840
763,3133
764,3081
765,869
