id,value
1,3490
2,4541
3,2585
4,2085
5,3397
6,4466
7,4014
8,3486
9,3413
10,182
11,2580
12,3744
13,607
14,531
15,4787
16,3098
17,1840
18,2785
19,2140
20,1037
21,452
22,781
23,4246
24,1148
25,1421
26,3201
27,4959
28,2700
29,4126
30,4573
31,4175
32,1711
33,1672
34,4836
35,2639
36,3816
37,844
38,1992
39,857
40,1839
41,4013
42,1485
43,2033
44,2668
45,1306
46,1582
47,1046
48,1907
49,2073
50,2297
51,2717
52,2282
53,4215
54,2581
55,2931
56,2343
57,3396
58,1621
59,186
60,3685
61,1961
62,2811
63,2520
64,2408
65,205
66,4633
67,3774
68,2284
69,957
70,4543
71,3993
72,1098
73,955
74,414
75,1964
76,1213
77,1441
78,3574
79,4967
80,4197
81,166
82,3152
83,4510
84,1314
85,1892
86,4778
87,2096
88,3597
89,3398
90,1214
91,1477
92,4682
93,2057
94,134
95,4371
96,1577
97,2735
98,1939
99,4017
100,4161
101,2937
102,4131
103,1780
104,4888
105,4707
106,2167
107,127
108,2449
109,4987
110,3157
111,605
112,2053
113,4845
114,3783
115,4863
116,2764
117,399
118,4549
119,3511
120,428
121,1481
122,2500
123,3274
124,3641
125,3085
126,3544
127,4232
128,100
129,4509
130,3814
131,2119
132,4975
133,4511
134,2390
135,3852
136,887
137,1216
138,3172
139,2393
140,3337
141,3294
142,372
143,1943
144,107
145,1003
146,4850
147,3265
148,290
149,3062
150,509
151,496
152,770
153,1645
154,386
155,2336
156,651
157,2313
158,4025
159,4491
160,1616
161,4629
162,818
163,3495
164,4056
165,1998
166,1224
167,4681
168,4350
169,4031
170,2175
171,4171
172,2399
173,2864
174,2375
175,2588
176,2611
177,4759
178,991
179,497
180,2819
181,3135
182,2908
183,1712
184,2943
185,2031
186,181
187,3292
188,2562
189,3565
190,4078
191,4475
192,974
193,1999
194,3602
195,327
196,1348
197,2510
198,3415
199,3092
200,3555
201,4825
202,368
203,1245
204,2329
205,522
206,4395
207,1622
208,370
209,2920
210,1344
211,745
212,3011
213,4789
214,2074
215,3947
216,3299
217,591
218,1925
219,1010
220,3600
221,1545
222,3964
223,4646
224,2742
225,2836
226,2897
227,4473
228,4237
229,3605
230,308
231,1971
232,703
233,1031
234,2246
235,2867
236,402
237,3369
238,3333
239,4698
240,4777
241,3426
242,1570
243,4433
244,4616
245,4754
246,2222
247,2964
248,4293
249,3272
250,3396
251,4317
252,2728
253,52
254,4370
255,4908
256,150
257,4606
258,1594
259,2749
260,2363
261,4042
262,1213
263,3895
264,1465
265,3733
266,1506
267,2222
