id,value
1,331
2,1459
3,436
4,308
5,2434
6,4550
7,3424
8,4304
9,218
10,4207
11,4021
12,4936
13,4957
14,2898
15,4847
16,1986
17,1371
18,1277
19,857
20,1892
21,606
22,4618
23,72
24,2902
25,1380
26,3337
27,715
28,817
29,1126
30,2242
31,3826
32,3735
33,2280
34,3437
35,1174
36,461
37,63
38,2089
39,956
40,3853
41,1184
42,3855
43,3465
44,2481
45,4850
46,3622
47,2434
48,715
49,2162
50,4993
51,4495
52,4253
53,3818
54,4035
55,1784
56,2799
57,377
58,3319
59,4193
60,4234
61,3390
62,3780
63,4096
64,3788
65,3925
66,2405
67,510
68,4003
69,2810
70,2132
71,372
72,1092
73,595
74,4445
75,4630
76,1827
77,1992
78,1440
79,4377
80,3281
81,2684
82,1806
83,4555
84,2368
85,378
86,544
87,1350
88,1762
89,717
90,4366
91,138
92,3924
93,4104
94,3066
95,3245
96,363
97,1524
98,1247
99,1286
100,992
101,2461
102,934
103,2933
104,296
105,1347
106,1750
107,1926
108,431
109,4612
110,2274
111,1566
112,384
113,1345
114,3712
115,677
116,1823
117,2904
118,569
119,2000
120,1156
121,4710
122,2978
123,2005
124,395
125,2124
126,4037
127,3185
128,4343
129,3458
130,3906
131,2676
132,3479
133,4007
134,1983
135,445
136,102
137,700
138,4089
139,4500
140,4758
141,4702
142,2174
143,2822
144,4325
145,2284
146,4040
147,2799
148,3305
149,4525
150,3781
151,4780
152,4798
153,3648
154,3431
155,3516
156,1225
157,1311
158,4052
159,1989
160,3443
161,4605
162,1922
163,3769
164,4596
165,1127
166,426
167,713
168,4278
169,2764
170,3116
171,3727
172,724
173,461
174,1517
175,1613
176,4171
177,3378
178,2526
179,785
180,2334
181,4945
182,3711
183,4985
184,4485
185,3187
186,500
187,2941
188,4900
189,55
190,3765
191,3745
192,123
193,1818
194,3728
195,3920
196,1992
197,4677
198,4512
199,2297
200,3885
201,2280
202,144
203,3386
204,1282
205,3542
206,3206
207,1545
208,1537
209,4141
210,4850
211,831
212,4449
213,2349
214,174
215,2609
216,634
217,1298
218,3659
219,3336
220,735
221,2555
222,1237
223,288
224,3687
225,631
226,1110
227,4485
228,442
229,3389
230,707
231,4990
232,4698
233,4117
234,914
235,3471
236,1623
237,1535
238,381
239,1468
240,3682
241,4536
242,1566
243,309
244,1098
245,1535
246,1822
247,3813
248,156
249,4261
250,1478
251,1714
252,3992
253,2883
254,4745
255,1899
256,3562
257,2137
258,4848
259,3976
260,3093
261,696
262,3008
263,4041
264,832
265,2383
266,3018
267,2472
268,1701
269,2605
270,304
271,895
272,1629
273,1175
274,2845
275,570
276,1820
277,2122
278,2585
279,2407
280,3505
281,3688
282,1780
283,2301
284,3396
285,3040
286,4004
287,4377
288,1791
289,1652
290,1886
291,1419
292,4997
293,1649
294,4333
295,3813
296,4570
297,71
298,2478
299,4306
300,3826
301,2337
302,409
303,331
304,686
305,4540
306,4138
307,1857
308,3866
309,3077
310,3717
311,4744
312,3405
313,1857
314,3401
315,1299
316,1073
317,879
318,3175
319,272
320,2423
321,2729
322,1491
323,2967
324,1899
325,3355
326,241
327,4491
328,3661
329,4268
330,1441
331,4695
332,2208
333,2874
334,800
335,2486
336,4749
337,1370
338,321
339,3535
340,2042
341,3146
342,4681
343,2819
344,1157
345,771
346,3210
347,3398
348,2347
349,2466
350,2243
351,3923
352,3359
353,4267
354,3733
355,2311
356,4927
357,3021
358,1493
359,361
360,1652
361,1695
362,4436
363,518
364,2361
365,552
366,2065
367,3406
368,3830
369,565
370,816
371,3936
372,3459
373,2918
374,1488
375,4941
376,4139
377,4475
378,3904
379,3020
380,928
381,557
382,4020
383,2921
384,1170
385,1543
386,934
387,2411
388,2098
389,4766
390,4105
391,789
392,4004
393,3179
394,3839
395,1680
396,1843
397,2057
398,868
399,3499
400,956
401,1886
402,1265
403,725
404,4175
405,3260
406,4368
407,4797
408,4843
409,336
410,4842
411,3844
412,3607
413,4555
414,56
415,3125
416,4082
417,3387
418,1252
419,3278
420,4207
421,3290
422,3885
423,4105
424,2033
425,2817
426,2334
427,2988
428,211
429,3590
430,1545
431,3168
432,1461
433,1129
434,3932
435,2498
436,4390
437,1204
438,4611
439,1911
440,2918
441,4828
442,4927
443,2809
444,3995
445,4470
446,902
447,1199
448,1114
449,3915
450,4702
451,4529
452,2664
453,4756
454,4441
455,4248
456,4789
457,237
458,1992
459,2020
460,3898
461,2587
462,2092
463,1858
464,2070
465,4346
466,3950
467,3407
468,2658
469,114
470,3612
471,2248
472,1163
473,1790
474,4996
475,3856
476,2672
477,758
478,3263
479,2993
480,3904
481,2169
482,2286
483,2705
484,837
485,3220
486,3086
487,2514
488,662
489,3991
490,604
491,4677
492,3288
493,4470
494,1603
495,791
496,3614
497,3997
498,3597
499,4395
500,4406
501,3991
502,2785
503,1824
504,802
505,236
506,763
507,3505
508,224
509,3366
510,4148
511,4657
512,1200
513,2315
514,887
515,2652
516,2581
517,4337
518,1568
519,3813
520,3884
521,3624
522,3144
523,2002
524,2833
525,2815
526,3954
527,971
528,316
529,1417
530,520
531,3780
532,2700
533,4437
534,2190
535,256
536,2100
537,2185
538,4276
539,2277
540,3273
541,427
542,4688
543,332
544,4500
545,870
546,2000
547,3509
548,2545
549,1582
550,3900
551,2691
552,1943
553,2552
554,3174
555,2763
556,461
557,4072
558,1433
559,3447
560,4283
561,264
562,3488
563,559
564,4624
565,3711
566,4452
567,2327
568,4469
569,322
570,3221
571,4956
572,1340
573,1591
574,3004
575,2046
576,2450
577,1274
578,2347
579,2846
580,2228
581,4495
